run_id,phase,pipeline,config_id,case_id,filename,status,expected_pages,detected_pages,expected_tables,detected_tables,text_anchor_recall,table_cell_recall,table_detection_ratio,table_detection_precision,table_detection_f1,case_confidence_score,low_confidence,overall_score,convert_seconds,total_seconds,seconds_per_page,markdown_chars,request_count,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,error
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_2_markdown_s2_0_rnone_strict_preserve,C06,case6.pdf,ok,3,3,1,5,1.0,0.6667,1.0,0.2,0.3333,0.0,True,0.8167,31.295,31.308,10.436,4383,3,10020,2333,12353,0.060045,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_2_markdown_s2_0_rnone_strict_preserve,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,18.501,18.508,6.169,2788,3,10803,1020,11823,0.042307,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s1_0_rnone_strict_preserve,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,1.0,0.8175,1.0,1.0,1.0,0.9247,False,0.8996,7.89,7.899,3.95,3278,2,1434,1254,2688,0.006718,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s1_0_rnone_strict_preserve,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,9,0.8889,0.802,1.0,1.0,1.0,0.8891,False,0.8522,39.648,39.682,4.409,17355,9,6453,7432,13885,0.038284,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s1_0_rnone_strict_preserve,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,0.8428,1.0,1.0,1.0,0.9351,False,0.9135,11.418,11.428,2.857,3714,4,2808,1547,4355,0.009067,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s1_0_rnone_strict_preserve,C06,case6.pdf,ok,3,3,1,8,0.8,0.5,1.0,0.125,0.2222,0.0,True,0.655,13.492,13.506,4.502,3733,3,2151,2296,4447,0.011945,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s1_0_rnone_strict_preserve,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,1.0,0.8476,1.0,1.0,1.0,0.9371,False,0.9162,6.846,6.854,2.285,2792,3,2523,1016,3539,0.006464,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_table_first,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,8.723,8.731,4.365,3193,2,5866,1247,7113,0.010011,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_table_first,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,15,0.8889,0.9438,1.0,0.6,0.75,0.7518,True,0.9302,47.591,47.634,5.293,17600,9,26397,7607,34004,0.054029,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_table_first,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,15.175,15.185,3.796,3730,4,11472,1546,13018,0.015561,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_table_first,C06,case6.pdf,ok,3,3,1,5,0.8,1.0,1.0,0.2,0.3333,0.0,True,0.93,15.896,15.907,5.302,5148,3,8799,2307,11106,0.016981,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_table_first,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,1.0,0.9905,1.0,1.0,1.0,0.9961,False,0.9948,13.217,13.224,4.408,2819,3,8604,1024,9628,0.011061,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rlow_strict_preserve,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,10.24,10.248,5.124,3194,2,5748,1322,7070,0.01026,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rlow_strict_preserve,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,13,0.8889,0.9633,1.0,0.6923,0.8182,0.8214,True,0.9409,60.075,60.116,6.68,17487,9,25866,10500,36366,0.06665,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rlow_strict_preserve,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,14.697,14.707,3.677,3734,4,11236,1934,13170,0.01713,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rlow_strict_preserve,C06,case6.pdf,ok,3,3,1,8,0.8,0.5,1.0,0.125,0.2222,0.0,True,0.655,16.912,16.926,5.642,3730,3,8622,2546,11168,0.017924,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rlow_strict_preserve,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,12.44,12.447,4.149,2792,3,8427,1333,9760,0.012319,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rmedium_strict_preserve,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,17.142,17.15,8.575,3196,2,5748,3192,8940,0.018675,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rmedium_strict_preserve,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,18,0.8889,0.9181,1.0,0.5,0.6667,0.6537,True,0.9161,104.638,104.69,11.632,17591,9,25866,20441,46307,0.111384,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rmedium_strict_preserve,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,19.445,19.455,4.864,3730,4,11236,3183,14419,0.02275,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rmedium_strict_preserve,C06,case6.pdf,ok,3,3,1,8,0.8,0.5,1.0,0.125,0.2222,0.0,True,0.655,41.442,41.458,13.819,3761,3,8622,7628,16250,0.040793,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rmedium_strict_preserve,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,18.743,18.751,6.25,2792,3,8427,2116,10543,0.015842,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_5_rnone_strict_preserve,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,9.539,9.548,4.774,3196,2,5748,1246,6994,0.009918,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_5_rnone_strict_preserve,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,13,0.8889,0.9621,1.0,0.6923,0.8182,0.8209,True,0.9403,53.833,53.876,5.986,17516,9,25866,7624,33490,0.053707,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_5_rnone_strict_preserve,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,14.818,14.828,3.707,3734,4,11236,1548,12784,0.015393,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_5_rnone_strict_preserve,C06,case6.pdf,ok,3,3,1,8,0.8,0.5,1.0,0.125,0.2222,0.0,True,0.655,18.954,18.968,6.323,3825,3,8622,2359,10981,0.017082,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_5_rnone_strict_preserve,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,15.91,15.918,5.306,2792,3,8427,1022,9449,0.010919,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_html_s2_0_rnone_strict_preserve,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,0.875,1.0,1.0,1.0,1.0,0.9672,False,0.9562,12.304,12.312,6.156,2968,2,5788,2210,7998,0.014286,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_html_s2_0_rnone_strict_preserve,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,9,0.7407,0.9963,1.0,1.0,1.0,0.9304,False,0.9072,71.961,72.006,8.001,16824,9,26046,14487,40533,0.084726,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_html_s2_0_rnone_strict_preserve,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,19.54,19.549,4.887,3734,4,11316,2986,14302,0.021924,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_html_s2_0_rnone_strict_preserve,C06,case6.pdf,ok,3,3,1,4,1.0,1.0,1.0,0.25,0.4,0.25,True,1.0,20.971,20.998,6.999,5683,3,8682,3648,12330,0.022927,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_html_s2_0_rnone_strict_preserve,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,17.966,17.973,5.991,2794,3,8487,1959,10446,0.015181,
