complex_table_score,elapsed_seconds,embedded_visual_region_count,embedded_visual_regions,extra_actions,height,image_area_ratio,image_read_risk_score,line_count,mode,page,reasons,rect_count,table_score,text_chars,text_density,text_quality_score,visual_reference_count,width
0.2708,0.0026,0,[],[],595.28,0.0,0.1686,10,TEXT_TABLE_FAST,205,"good_text_layer,simple_table_signal",10,0.575,1031,0.004128,0.8469,0,419.53
0.7688,0.0049,0,[],[],595.28,0.0,0.2281,58,TEXT_TABLE_ACCURATE,206,"good_text_layer,complex_table_signal",58,0.9875,1244,0.004981,0.9125,0,419.53
0.5958,0.005,0,[],[],595.28,0.0,0.215,42,TEXT_TABLE_FAST,207,"good_text_layer,simple_table_signal",42,0.9,1439,0.005762,0.9,0,419.53
0.0615,0.0021,0,[],[],595.28,0.0,0.1455,8,TEXT_LIGHT,208,"good_text_layer,no_table_signal",8,0.3775,812,0.003251,0.8,0,419.53
0.1562,0.0024,0,[],[],595.28,0.0,0.0899,10,TEXT_TABLE_FAST,209,"good_text_layer,simple_table_signal",10,0.4375,1002,0.004012,0.9932,0,419.53
0.325,0.003,0,[],[],595.28,0.0,0.1496,22,TEXT_TABLE_FAST,210,"good_text_layer,simple_table_signal",22,0.725,1186,0.004749,0.9869,0,419.53
0.4625,0.0055,0,[],[],595.28,0.0,0.23,34,TEXT_TABLE_FAST,211,"good_text_layer,simple_table_signal",34,0.8,2058,0.008241,0.8,0,419.53
0.2875,0.0054,0,[],[],595.28,0.0,0.155,16,TEXT_TABLE_FAST,212,"good_text_layer,simple_table_signal",16,0.655,2075,0.008309,0.9313,0,419.53
0.5938,0.0044,0,[],[],595.28,0.0,0.2462,35,TEXT_TABLE_FAST,213,"good_text_layer,simple_table_signal",35,0.95,1389,0.005562,0.8394,0,419.53
0.3104,0.0041,0,[],[],595.28,0.0,0.1792,18,TEXT_TABLE_FAST,214,"good_text_layer,simple_table_signal",18,0.7025,1565,0.006267,0.8895,0,419.53
0.2292,0.0036,0,[],[],595.28,0.0,0.1429,10,TEXT_TABLE_FAST,215,"good_text_layer,simple_table_signal",10,0.525,1394,0.005582,0.8916,0,419.53
0.3125,0.0065,0,[],[],595.28,0.0,0.1677,10,TEXT_TABLE_FAST,216,"good_text_layer,simple_table_signal",10,0.625,2098,0.008401,0.8781,0,419.53
0.6042,0.0065,0,[],[],595.28,0.0,0.2397,40,TEXT_TABLE_ACCURATE,217,"good_text_layer,complex_table_signal",40,0.925,2187,0.008757,0.8436,0,419.53
0.4979,0.0073,0,[],[],595.28,0.0,0.2367,13,TEXT_TABLE_FAST,218,"good_text_layer,simple_table_signal",13,0.8775,2249,0.009006,0.8251,0,419.53
0.3792,0.0036,0,[],[],595.28,0.0,0.209,9,TEXT_TABLE_FAST,219,"good_text_layer,simple_table_signal",9,0.695,1232,0.004933,0.8,0,419.53
0.3479,0.0038,0,[],[],595.28,0.0,0.1973,24,TEXT_TABLE_FAST,220,"good_text_layer,simple_table_signal",24,0.7375,1379,0.005522,0.8576,0,419.53
0.6687,0.0047,0,[],[],595.28,0.0,0.2265,52,TEXT_TABLE_ACCURATE,221,"good_text_layer,complex_table_signal",52,0.9125,1354,0.005422,0.8744,0,419.53
